task_priority,task_duration,deadline_hours,slot_start_hour,slot_duration,preferred_start_hour,day_of_week,is_weekend,repeated_task,reminder_exists,category,duration_fit,user_available,before_deadline,valid_slot,preferred_time_match,priority_score,deadline_pressure,duration_efficiency,suitability_score
5,90,75,7,150,6,0,1,1,0,1,1,1,1,1,0.7788007830714049,1.0,0.5535714285714286,0.6,0.7852714674526726
3,60,45,6,120,19,3,0,1,0,2,1,1,1,1,0.06392786120670757,0.6,0.7321428571428572,0.5,0.5189854070209161
5,120,80,7,150,19,4,1,0,0,3,1,1,1,1,0.049787068367863944,1.0,0.5238095238095238,0.8,0.5278965997125123
4,45,78,6,90,9,6,0,0,0,2,1,1,1,1,0.4723665527410147,0.8,0.5357142857142857,0.5,0.5198252067277674
3,45,120,8,120,9,4,1,1,0,4,1,1,1,1,0.7788007830714049,0.6,0.2857142857142857,0.375,0.5569020087206299
3,60,149,11,90,21,4,1,1,1,5,1,1,1,1,0.0820849986238988,0.6,0.11309523809523814,0.6666666666666666,0.38468082661112846
5,90,86,7,90,20,4,1,0,0,5,1,1,1,1,0.06392786120670757,1.0,0.48809523809523814,1.0,0.5769269912500632
5,45,113,6,45,20,5,1,0,1,1,1,1,1,1,0.0820849986238988,1.0,0.32738095238095233,1.0,0.5047371361791175
4,90,157,7,120,13,0,0,0,1,2,1,1,1,1,0.22313016014842982,0.8,0.06547619047619047,0.75,0.4235017276047991
5,45,118,9,45,19,2,1,0,0,1,1,1,1,1,0.0820849986238988,1.0,0.29761904761904767,1.0,0.49336875401344665
1,30,154,11,120,18,2,0,1,0,0,1,1,1,1,0.17377394345044514,0.2,0.08333333333333337,0.25,0.17995865385882176
1,90,64,6,150,19,6,1,0,1,2,1,1,1,1,0.06392786120670757,0.2,0.6190476190476191,0.6,0.37406412435378705
3,45,124,8,150,12,6,0,0,1,5,1,1,1,1,0.36787944117144233,0.6,0.26190476190476186,0.3,0.4492273574210635
4,45,154,11,60,12,0,0,0,0,1,1,1,1,1,0.7788007830714049,0.8,0.08333333333333337,0.75,0.5247040667745533
4,60,145,6,150,13,0,1,0,1,3,1,1,1,1,0.17377394345044514,0.8,0.13690476190476186,0.4,0.4194433268405015
1,60,69,6,60,13,5,0,0,0,4,1,1,1,1,0.17377394345044514,0.2,0.5892857142857143,1.0,0.31817834696587666
1,30,92,9,180,14,3,0,0,0,4,1,1,1,1,0.2865047968601901,0.2,0.45238095238095233,0.16666666666666666,0.21579543792461037
3,30,120,9,120,11,6,1,1,0,3,1,1,1,1,0.6065306597126334,0.6,0.2857142857142857,0.25,0.4947401614097144
